City ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Eliot,US,73.94,43.1531,-70.8001,Shilo Farm
4,Vao,NC,66.7,-22.6667,167.4833,Hotel Kou-Bugny
6,Rongcheng,CN,81.48,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
7,Albany,US,69.4,42.6001,-73.9662,
9,Yellowknife,CA,89.29,62.456,-114.3525,The Explorer Hotel
10,Saint-Philippe,RE,65.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Bull Savanna,JM,79.39,17.8868,-77.5902,Big Red's
14,Grand Gaube,MU,68.7,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
16,Rikitea,PF,69.93,-23.1203,-134.9692,People ThankYou
17,Prince Rupert,CA,64.56,54.3161,-130.3201,Crest Hotel
18,Bethel,US,75.76,41.3712,-73.414,Courtyard by Marriott Danbury
19,Kapaa,US,87.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Beloha,MG,64.31,-25.1667,45.05,
23,Highland Springs,US,78.3,37.546,-77.3278,Homewood Suites by Hilton Richmond - Airport
24,Biak,ID,79.36,-0.9131,122.8766,Penginapan Kim
27,Puerto Ayora,EC,71.49,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Komsomolskiy,UZ,72.82,40.4272,71.7189,Ikathouse
30,Poum,NC,69.94,-20.2333,164.0167,Gîte kajeon
31,Ternate,ID,83.14,0.8,127.4,Grand Dafam Bela Ternate
32,Pipar,IN,80.22,26.3856,73.5378,Aadam Mansion
33,Dingle,PH,83.16,10.9995,122.6711,SEGAYA PROPERTY
35,Jamestown,US,67.71,42.097,-79.2353,Hampton Inn & Suites Jamestown
37,Pemangkat,ID,78.8,1.1667,108.9667,Ramah Kost KITA
38,Petrovskoye,RU,66.13,57.0104,39.2693,Karoza
39,Gediz,TR,70.25,39.0417,29.41,Bilginler Kız Öğrenci Yurdu
40,Astana,KZ,64.35,51.1801,71.446,King Hotel Astana
42,Khatanga,RU,70.34,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
44,Katsuura,JP,86.14,35.1333,140.3,Katsuura Hotel Mikazuki
45,Gasa,PS,77.92,31.5,34.4667,رابطة الفنانين الفلسطينيين
46,Fortuna,US,67.93,40.5982,-124.1573,Super 8 by Wyndham Fortuna
47,Georgetown,MY,80.89,5.4112,100.3354,Cititel Penang
49,Alexandria,EG,80.44,31.2156,29.9553,Royal Crown Hotel
51,Victoria,HK,84.33,22.2855,114.1577,Mini Hotel Central
53,Kalachinsk,RU,63.39,55.0529,74.5751,"Voskhod, Hotel"
56,Norman Wells,CA,87.71,65.282,-126.8329,Heritage Hotel
61,Samarinda,ID,76.23,-0.5,117.15,Aston Samarinda Hotel & Convention Center
62,Faya,SA,63.12,18.3851,42.4509,املاك خالد الشعشوع
63,Butaritari,KI,82.42,3.0707,172.7902,Isles Sunset Lodge
65,Eyl,SO,79.03,7.9803,49.8164,Amiin Hotel
67,Port-Cartier,CA,64.92,50.0334,-66.8654,Le Q'Artier
68,Wau,SS,67.86,7.7029,27.9953,Universal Gab Hotel
70,Puerto Gaitan,CO,71.1,4.3133,-72.0816,Brisas del Yucao
72,Yaan,NG,72.27,7.3833,8.5667,
73,Moerai,PF,75.24,-22.4333,-151.3333,Le Manotel
74,Quatre Cocos,MU,65.7,-20.2078,57.7625,Sunrise Attitude Hotel
75,Lethem,GY,74.97,3.3803,-59.7968,Savannah Inn
76,Sydney,AU,65.32,-33.8679,151.2073,The Grace Sydney
78,Jardim,BR,65.98,-21.4803,-56.1381,Estancia Hotel - Jardim MS
80,Mana,GF,77.65,5.6592,-53.7767,LE SAMANA
81,Nemuro,JP,77.43,43.3236,145.575,Hotel Nemuro Kaiyoutei
82,Sterling,US,78.87,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
83,Lompoc,US,89.02,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
84,Ponta Do Sol,PT,72.72,32.6667,-17.1,Hotel do Campo
85,Fairbanks,US,86.59,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
87,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
89,Ouro Preto Do Oeste,BR,77.02,-10.7481,-62.2158,Graúna Resort Hotel
91,Mount Isa,AU,62.37,-20.7333,139.5,ibis Styles Mt Isa Verona
92,Shimoda,JP,84.31,34.6667,138.95,Shimoda Tokyu Hotel
93,Korla,CN,78.42,41.7597,86.1469,Gulisitan Hotel
95,West Bay,KY,85.06,19.3667,-81.4167,Calypso Cove
96,Souillac,MU,66.52,-20.5167,57.5167,Shanti Maurice Resort & Spa
97,Taltal,CL,60.15,-25.4,-70.4833,Residencial Karime
99,Mahebourg,MU,66.79,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Hilo,US,80.33,19.7297,-155.09,Hilo Hawaiian Hotel
103,Balkanabat,TM,87.85,39.5108,54.3671,Nebitchi Hotel
104,Poronaysk,RU,63.23,49.2167,143.1167,Avtovokzal Khostel Stolovaya
105,Mattru,SL,71.01,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
106,Mirnyy,RU,67.17,62.5353,113.9611,квартира
108,Saskylakh,RU,68.09,71.9167,114.0833,
112,Avarua,CK,80.65,-21.2078,-159.775,Paradise Inn
114,Mackenzie,CA,77.65,55.2999,-123.1698,Hilton Shop
117,Boma,GH,70.48,7.0805,-2.1697,Obaatanpa Hotel
119,Dhidhdhoo,MV,81.86,6.8833,73.1,Dhidhoo beach
120,Inhambane,MZ,67.53,-23.865,35.3833,Oceano
121,Kimbe,PG,81.43,-5.5502,150.1429,Kimbe Bay Hotel
124,Torbay,CA,63.48,47.6666,-52.7314,Gallows Cove
126,Porto Novo,BJ,76.01,6.4965,2.6036,Tour Eiffel Hotel Benin
129,Baykit,RU,64.81,61.67,96.37,
130,Genhe,CN,68.49,50.7833,121.5167,Companionship Hotel
132,Nishihara,JP,83.86,26.1842,127.7558,Minshuku Agaihama
135,Port Blair,IN,80.2,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
137,Atasu,KZ,71.58,48.6814,71.6433,Dostyk
138,Matara,LK,77.68,5.9485,80.5353,Amaloh Boutique Resort
139,Haines Junction,CA,74.98,60.7522,-137.5108,Parkside Inn
140,Lagoa Da Prata,BR,67.55,-20.0225,-45.5436,Pousada Parador da Figueira
141,Salinas,US,88.61,36.6777,-121.6555,Laurel Inn & Conference Center
142,Atuona,PF,77.45,-9.8,-139.0333,Villa Enata
143,Naze,JP,78.78,28.3667,129.4833,奄美ポートタワーホテル
145,Tilzapotla,MX,85.37,18.4833,-99.2667,"Quesería ""La pradera"""
