City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2021-08-03 00:03:38,69.4541,-133.0374,42.44,92,100,13.13
1,Port Elizabeth,ZA,2021-08-03 00:03:38,-33.918,25.5701,49.1,88,0,8.97
2,Eliot,US,2021-08-03 00:03:39,43.1531,-70.8001,73.94,66,1,5.75
3,Nanortalik,GL,2021-08-03 00:03:39,60.1432,-45.2371,44.8,94,98,0.72
4,Vao,NC,2021-08-03 00:03:40,-22.6667,167.4833,66.7,67,1,5.5
5,Luderitz,NA,2021-08-03 00:03:41,-26.6481,15.1594,66.25,37,0,1.74
6,Rongcheng,CN,2021-08-03 00:03:41,30.634,117.8517,81.48,85,46,6.71
7,Albany,US,2021-08-03 00:02:27,42.6001,-73.9662,69.4,67,9,1.99
8,Ancud,CL,2021-08-03 00:03:42,-41.8697,-73.8203,50.4,96,99,3.31
9,Yellowknife,CA,2021-08-03 00:00:19,62.456,-114.3525,89.29,27,0,11.21
10,Saint-Philippe,RE,2021-08-03 00:03:42,-21.3585,55.7679,65.79,70,8,1.41
11,Hobart,AU,2021-08-03 00:00:12,-42.8794,147.3294,49.26,80,99,4.0
12,Bull Savanna,JM,2021-08-03 00:03:43,17.8868,-77.5902,79.39,79,54,10.2
13,Yulara,AU,2021-08-03 00:03:43,-25.2406,130.9889,50.09,56,0,16.02
14,Grand Gaube,MU,2021-08-03 00:03:44,-20.0064,57.6608,68.7,66,0,4.7
15,Christchurch,NZ,2021-08-03 00:00:51,-43.5333,172.6333,46.9,88,90,4.0
16,Rikitea,PF,2021-08-02 23:59:31,-23.1203,-134.9692,69.93,55,82,19.6
17,Prince Rupert,CA,2021-08-03 00:03:25,54.3161,-130.3201,64.56,67,28,4.29
18,Bethel,US,2021-08-03 00:01:11,41.3712,-73.414,75.76,77,44,2.73
19,Kapaa,US,2021-08-03 00:03:45,22.0752,-159.319,87.78,86,19,3.0
20,Ushuaia,AR,2021-08-03 00:00:39,-54.8,-68.3,36.09,90,96,5.12
